Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
814.000000	1.559109	0.000000	
815.000000	1.559081	0.000000	
816.000000	1.559054	0.000000	
817.000000	1.559026	0.000000	
818.000000	1.558998	0.000000	
819.000000	1.558971	0.000000	
820.000000	1.558943	0.000000	
821.000000	1.558916	0.000000	
822.000000	1.558889	0.000000	
823.000000	1.558862	0.000000	
824.000000	1.558835	0.000000	
825.000000	1.558808	0.000000	
826.000000	1.558781	0.000000	
827.000000	1.558754	0.000000	
828.000000	1.558728	0.000000	
829.000000	1.558701	0.000000	
830.000000	1.558675	0.000000	
831.000000	1.558648	0.000000	
832.000000	1.558622	0.000000	
833.000000	1.558596	0.000000	
834.000000	1.558570	0.000000	
835.000000	1.558544	0.000000	
836.000000	1.558518	0.000000	
837.000000	1.558493	0.000000	
838.000000	1.558467	0.000000	
839.000000	1.558441	0.000000	
840.000000	1.558416	0.000000	
841.000000	1.558391	0.000000	
842.000000	1.558365	0.000000	
843.000000	1.558340	0.000000	
844.000000	1.558315	0.000000	
845.000000	1.558290	0.000000	
846.000000	1.558265	0.000000	
847.000000	1.558240	0.000000	
848.000000	1.558216	0.000000	
849.000000	1.558191	0.000000	
850.000000	1.558167	0.000000	
851.000000	1.558142	0.000000	
852.000000	1.558118	0.000000	
853.000000	1.558093	0.000000	
854.000000	1.558069	0.000000	
855.000000	1.558045	0.000000	
856.000000	1.558021	0.000000	
857.000000	1.557997	0.000000	
858.000000	1.557973	0.000000	
859.000000	1.557950	0.000000	
860.000000	1.557926	0.000000	
861.000000	1.557902	0.000000	
862.000000	1.557879	0.000000	
863.000000	1.557855	0.000000	
864.000000	1.557832	0.000000	
865.000000	1.557809	0.000000	
866.000000	1.557786	0.000000	
867.000000	1.557763	0.000000	
868.000000	1.557740	0.000000	
869.000000	1.557717	0.000000	
870.000000	1.557694	0.000000	
871.000000	1.557671	0.000000	
872.000000	1.557649	0.000000	
873.000000	1.557626	0.000000	
874.000000	1.557603	0.000000	
875.000000	1.557581	0.000000	
876.000000	1.557559	0.000000	
877.000000	1.557536	0.000000	
878.000000	1.557514	0.000000	
879.000000	1.557492	0.000000	
880.000000	1.557470	0.000000	
881.000000	1.557448	0.000000	
882.000000	1.557426	0.000000	
883.000000	1.557404	0.000000	
884.000000	1.557382	0.000000	
885.000000	1.557361	0.000000	
886.000000	1.557339	0.000000	
887.000000	1.557318	0.000000	
888.000000	1.557296	0.000000	
889.000000	1.557275	0.000000	
890.000000	1.557254	0.000000	
891.000000	1.557232	0.000000	
892.000000	1.557211	0.000000	
893.000000	1.557190	0.000000	
894.000000	1.557169	0.000000	
895.000000	1.557148	0.000000	
896.000000	1.557127	0.000000	
897.000000	1.557106	0.000000	
898.000000	1.557086	0.000000	
899.000000	1.557065	0.000000	
900.000000	1.557045	0.000000	
901.000000	1.557024	0.000000	
902.000000	1.557004	0.000000	
903.000000	1.556983	0.000000	
904.000000	1.556963	0.000000	
905.000000	1.556943	0.000000	
906.000000	1.556923	0.000000	
907.000000	1.556903	0.000000	
908.000000	1.556883	0.000000	
909.000000	1.556862	0.000000	
910.000000	1.556843	0.000000	
911.000000	1.556823	0.000000	
912.000000	1.556803	0.000000	
913.000000	1.556783	0.000000	
914.000000	1.556764	0.000000	
915.000000	1.556744	0.000000	
916.000000	1.556725	0.000000	
917.000000	1.556705	0.000000	
918.000000	1.556686	0.000000	
919.000000	1.556667	0.000000	
920.000000	1.556647	0.000000	
921.000000	1.556628	0.000000	
922.000000	1.556609	0.000000	
923.000000	1.556590	0.000000	
924.000000	1.556571	0.000000	
925.000000	1.556552	0.000000	
926.000000	1.556533	0.000000	
927.000000	1.556515	0.000000	
928.000000	1.556496	0.000000	
929.000000	1.556477	0.000000	
930.000000	1.556458	0.000000	
931.000000	1.556440	0.000000	
932.000000	1.556422	0.000000	
933.000000	1.556403	0.000000	
934.000000	1.556385	0.000000	
935.000000	1.556366	0.000000	
936.000000	1.556348	0.000000	
937.000000	1.556330	0.000000	
938.000000	1.556312	0.000000	
939.000000	1.556294	0.000000	
940.000000	1.556276	0.000000	
941.000000	1.556258	0.000000	
942.000000	1.556240	0.000000	
943.000000	1.556222	0.000000	
944.000000	1.556204	0.000000	
945.000000	1.556187	0.000000	
946.000000	1.556169	0.000000	
947.000000	1.556151	0.000000	
948.000000	1.556134	0.000000	
949.000000	1.556116	0.000000	
950.000000	1.556099	0.000000	
951.000000	1.556082	0.000000	
952.000000	1.556064	0.000000	
953.000000	1.556047	0.000000	
954.000000	1.556030	0.000000	
955.000000	1.556013	0.000000	
956.000000	1.555995	0.000000	
957.000000	1.555978	0.000000	
958.000000	1.555961	0.000000	
959.000000	1.555945	0.000000	
960.000000	1.555928	0.000000	
961.000000	1.555911	0.000000	
962.000000	1.555894	0.000000	
963.000000	1.555877	0.000000	
964.000000	1.555861	0.000000	
965.000000	1.555844	0.000000	
966.000000	1.555827	0.000000	
967.000000	1.555811	0.000000	
968.000000	1.555795	0.000000	
969.000000	1.555778	0.000000	
970.000000	1.555762	0.000000	
971.000000	1.555745	0.000000	
972.000000	1.555729	0.000000	
973.000000	1.555713	0.000000	
974.000000	1.555697	0.000000	
975.000000	1.555681	0.000000	
976.000000	1.555665	0.000000	
977.000000	1.555649	0.000000	
978.000000	1.555633	0.000000	
